Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,95.250000,96.300003,93.800003,94.099998,92.590172,2396641
2023-04-21,94.099998,94.500000,93.000000,94.150002,92.639374,1257397
2023-04-24,94.449997,96.250000,94.000000,95.849998,94.312096,2255994
2023-04-25,96.500000,96.750000,95.000000,95.550003,94.016914,903188
2023-04-26,95.500000,95.750000,94.500000,94.949997,93.426529,740814
2023-04-27,94.849998,95.849998,94.750000,95.650002,94.115303,1087365
2023-04-28,96.000000,98.349998,96.000000,97.800003,96.230812,2699641
2023-05-02,98.449997,99.500000,97.300003,97.500000,95.935623,1595054
2023-05-03,97.050003,97.550003,96.500000,96.750000,95.197655,977909
2023-05-04,97.250000,98.900002,97.050003,97.900002,96.329201,1843138
2023-05-05,98.349998,98.400002,94.699997,95.050003,93.524933,1643806
2023-05-08,95.449997,95.800003,94.000000,95.000000,93.475731,1540246
2023-05-09,96.250000,96.650002,94.250000,94.750000,93.229744,3251703
2023-05-10,94.750000,95.500000,93.900002,95.300003,93.770920,3086288
2023-05-11,95.500000,97.250000,95.300003,96.699997,95.148453,1433176
2023-05-12,96.800003,97.199997,96.000000,96.250000,94.705673,914105
2023-05-15,96.400002,99.599998,95.599998,97.449997,95.886421,4355301
2023-05-16,99.000000,100.750000,96.150002,97.650002,96.083214,5992722
2023-05-17,98.500000,107.800003,98.050003,105.050003,103.364487,27455580
2023-05-18,106.099998,109.699997,104.500000,105.099998,103.413681,11248870
2023-05-19,105.500000,107.000000,103.000000,105.000000,103.315285,5127763
2023-05-22,105.050003,107.000000,101.750000,106.599998,104.889610,3334969
2023-05-23,107.000000,107.300003,105.000000,105.250000,103.561272,1482368
2023-05-24,105.449997,107.250000,104.949997,106.050003,104.348442,2148609
2023-05-25,106.099998,106.750000,104.599998,105.300003,103.610474,1396616
2023-05-26,105.800003,105.800003,102.849998,104.449997,102.774109,1966421
2023-05-29,105.500000,109.500000,105.400002,107.000000,105.283195,7643052
2023-05-30,107.050003,108.550003,105.949997,106.250000,104.545227,1819572
2023-05-31,106.250000,107.000000,104.500000,106.099998,104.397636,2730459
2023-06-01,107.000000,108.500000,106.400002,107.849998,106.119553,2185961
2023-06-02,108.000000,109.949997,106.650002,107.150002,105.430786,2285857
2023-06-05,107.750000,108.699997,107.300003,108.300003,106.562340,1414893
2023-06-06,108.400002,108.949997,107.199997,108.349998,106.611534,1434932
2023-06-07,108.349998,109.449997,107.650002,108.699997,106.955917,1705766
2023-06-08,108.900002,111.550003,106.800003,110.699997,108.923828,7270963
2023-06-09,111.699997,111.949997,108.599998,109.550003,107.792282,2898266
2023-06-12,110.400002,113.250000,110.050003,112.500000,110.694946,5683307
2023-06-13,112.900002,114.550003,111.900002,113.849998,112.023285,4744793
2023-06-14,114.250000,117.500000,114.099998,115.250000,113.400826,5250902
2023-06-15,116.000000,121.300003,114.699997,119.150002,117.238251,7556084
2023-06-16,119.849998,129.899994,118.599998,127.849998,125.798653,16709957
2023-06-19,128.699997,129.600006,122.300003,123.550003,121.567657,5395217
2023-06-20,124.349998,127.150002,121.699997,123.099998,121.124870,8109881
2023-06-21,123.949997,124.699997,122.099998,122.949997,120.977272,3761011
2023-06-22,123.500000,126.750000,122.000000,122.300003,120.337708,2629818
2023-06-23,122.949997,123.500000,119.250000,120.250000,118.320602,2828067
2023-06-26,120.300003,121.000000,118.800003,119.699997,117.779419,1399157
2023-06-27,120.949997,122.900002,119.500000,121.699997,119.747330,1411117
2023-06-28,121.699997,121.699997,121.699997,121.699997,119.747330,0
2023-06-30,126.349998,126.750000,122.900002,124.650002,122.650002,2550922
2023-07-03,126.000000,133.300003,126.000000,127.900002,125.847855,10014755
2023-07-04,129.350006,130.449997,126.949997,128.399994,126.339828,4064423
2023-07-05,129.000000,137.750000,129.000000,133.149994,131.013611,11485561
2023-07-06,133.600006,133.600006,130.649994,131.649994,129.537674,3969424
2023-07-07,131.399994,131.500000,128.149994,128.949997,126.881004,2029061
2023-07-10,129.500000,129.899994,124.000000,124.750000,122.748398,1549495
2023-07-11,125.800003,129.949997,123.500000,128.949997,126.881004,2748951
2023-07-12,128.300003,129.800003,124.800003,125.650002,123.633957,2534537
2023-07-13,126.500000,126.750000,120.599998,121.949997,119.993317,2037953
2023-07-14,122.900002,127.599998,122.400002,124.000000,122.010429,2459074
2023-07-17,129.000000,131.100006,123.500000,126.500000,124.470322,4914992
2023-07-18,128.199997,130.000000,124.800003,127.150002,125.109894,2714559
2023-07-19,128.399994,129.850006,126.849998,127.900002,125.847855,2273119
2023-07-20,128.000000,130.949997,126.500000,129.750000,127.668175,2864581
2023-07-21,129.399994,131.100006,128.000000,129.199997,127.126991,1612875
2023-07-24,129.600006,132.300003,129.199997,129.350006,127.274597,1719456
2023-07-25,131.050003,131.300003,128.149994,129.250000,127.176193,1905415
2023-07-26,129.300003,131.000000,127.199997,127.400002,125.355881,1389483
2023-07-27,127.500000,127.949997,124.599998,125.000000,122.994385,1734032
2023-07-28,125.000000,125.300003,123.099998,124.000000,122.010429,766217
2023-07-31,124.000000,127.449997,123.000000,123.949997,121.961227,2591863
2023-08-01,124.599998,126.949997,124.449997,125.949997,123.929138,1230010
2023-08-02,126.000000,126.900002,121.099998,124.250000,122.256416,1720500
2023-08-03,124.949997,125.199997,121.800003,123.400002,121.420059,1564174
2023-08-04,124.099998,125.900002,124.000000,124.650002,122.650002,911972
2023-08-07,122.949997,127.900002,122.750000,124.300003,124.300003,1072394
2023-08-08,124.699997,126.900002,123.550003,125.699997,125.699997,751504
2023-08-09,125.699997,127.949997,123.000000,123.449997,123.449997,1005135
2023-08-10,124.400002,124.449997,122.400002,123.000000,123.000000,879837
2023-08-11,123.599998,124.199997,122.199997,122.750000,122.750000,1348660
2023-08-14,123.099998,123.250000,119.150002,121.550003,121.550003,879430
2023-08-16,120.099998,121.550003,118.000000,119.050003,119.050003,976680
2023-08-17,118.199997,122.000000,117.599998,119.800003,119.800003,950773
2023-08-18,120.099998,120.699997,115.699997,116.849998,116.849998,1433093
2023-08-21,116.750000,121.500000,115.599998,120.750000,120.750000,2444557
2023-08-22,119.500000,122.949997,119.500000,122.550003,122.550003,1302007
2023-08-23,120.349998,126.699997,120.349998,125.949997,125.949997,4394147
2023-08-24,125.500000,126.900002,118.000000,122.300003,122.300003,2414407
2023-08-25,121.000000,124.300003,120.000000,120.699997,120.699997,1215176
2023-08-28,121.449997,122.199997,118.900002,120.150002,120.150002,1517078
2023-08-29,120.000000,123.050003,120.000000,121.000000,121.000000,702738
2023-08-30,122.000000,122.650002,119.800003,120.949997,120.949997,837626
2023-08-31,121.849998,123.000000,120.349998,121.550003,121.550003,1285887
2023-09-01,120.699997,123.000000,118.699997,121.750000,121.750000,2280882
2023-09-04,122.949997,125.000000,122.199997,122.599998,122.599998,1840113
2023-09-05,124.750000,131.250000,124.000000,129.250000,129.250000,5486573
2023-09-06,130.699997,132.500000,126.400002,129.399994,129.399994,4635813
2023-09-07,130.649994,131.500000,129.500000,130.649994,130.649994,1570301
2023-09-08,132.000000,132.000000,129.649994,130.100006,130.100006,1244662
2023-09-11,132.000000,132.000000,128.600006,131.100006,131.100006,1516662
